venue_id,pickup_point_id,label,suburb,street,latitude,longitude,candidate_pickup_point,source_dataset,official_event_role,nearby_road_count,nearby_major_road_count,nearby_crossing_count,nearby_signal_count,access_complexity_score,distance_to_venue_km,complexity_band,walk_band,safety_score,accessibility_score,driver_access_score,base_congestion_score,notes
queensland_tennis_centre,qtc_king_arthur_taxi,KING ARTHUR TERRACE TAXI RANK | YEERONGPILLY,Yeerongpilly,King Arthur Terrace,-27.525300,153.006200,1,manual_qtc_event_research,taxi_rank,260,45,6,3,140,0.15,Medium,under-250m,78,82,88,62,"Official Brisbane International taxi rank area. Best cab visibility, but likely high crowd pressure because it is close to the main entrance."
queensland_tennis_centre,qtc_bedivere_rideshare,BEDIVERE STREET RIDESHARE | YEERONGPILLY,Yeerongpilly,Bedivere Street,-27.524300,153.013350,1,manual_qtc_event_research,rideshare_pickup,320,35,8,4,165,0.75,High,500m-1km,74,78,84,72,"Official event rideshare pick-up/drop-off area. Good driver access away from the venue gate, with a longer walk."
queensland_tennis_centre,qtc_dexter_public_pickup,DEXTER STREET PUBLIC PICKUP | TENNYSON,Tennyson,Dexter Street,-27.526900,153.003700,1,manual_qtc_event_research,public_pickup_only,220,18,4,1,115,0.55,Medium,500m-1km,76,75,70,68,"Official public drop-off/pick-up area for private vehicles. Event guidance says this is not for rideshare or taxis, so use as a backup/private pickup option."
queensland_tennis_centre,qtc_green_accessible,GREEN STREET ACCESSIBLE PICKUP | YEERONGPILLY,Yeerongpilly,Green Street,-27.524950,153.014550,1,manual_qtc_event_research,accessible_pickup,280,30,8,4,130,0.85,Medium,500m-1km,82,96,78,70,"Official accessible drop-off/pick-up area with event shuttle support. Strong accessibility option, especially when venue parking is unavailable."
queensland_tennis_centre,qtc_wilkie_station,WILKIE STREET STATION PICKUP | YEERONGPILLY,Yeerongpilly,Wilkie Street,-27.525560,153.014050,1,manual_qtc_event_research,station_pickup,300,35,7,4,145,0.82,Medium,500m-1km,80,88,76,70,Near Yeerongpilly station and park'n'ride. Useful as a transport-linked pickup point and fallback if event pickup streets are busy.
queensland_tennis_centre,qtc_softstone_backup,SOFTSTONE STREET BACKUP PICKUP | TENNYSON,Tennyson,Softstone Street,-27.527200,153.007900,1,manual_qtc_event_research,backup_pickup,180,12,4,1,105,0.35,Low,250m-500m,72,76,66,60,Close backup near a venue access street. Should be checked against event road controls before being treated as a top recommendation.
queensland_tennis_centre,qtc_fairfield_ortive,FAIRFIELD ROAD / ORTIVE STREET | YEERONGPILLY,Yeerongpilly,Fairfield Road,-27.527800,153.011400,1,manual_qtc_event_research,driver_access_backup,380,60,8,5,175,0.70,High,500m-1km,70,72,82,58,"Driver-access fallback via Fairfield Road side. Better for cab approach, but likely busier and less calm for pedestrians."
queensland_tennis_centre,qtc_osm_001_unnamed_service_road,UNNAMED SERVICE ROAD QTC CANDIDATE 001 | YEERONGPILLY,Yeerongpilly,Unnamed Service Road,-27.526098,153.007461,1,osm_qtc_road_candidates,raw_road_candidate,269,73,7,4,554,0.069,Very High,under-250m,69.0,71.6,87.2,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: service. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_002_king_arthur_terrace,KING ARTHUR TERRACE QTC CANDIDATE 002 | YEERONGPILLY,Yeerongpilly,King Arthur Terrace,-27.524780,153.007017,1,osm_qtc_road_candidates,raw_road_candidate,320,75,13,4,570,0.084,Very High,under-250m,63.0,76.6,96,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: unclassified. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_003_king_arthur_terrace,KING ARTHUR TERRACE QTC CANDIDATE 003 | YEERONGPILLY,Yeerongpilly,King Arthur Terrace,-27.524804,153.008017,1,osm_qtc_road_candidates,raw_road_candidate,230,63,15,0,470,0.113,Very High,under-250m,71.0,74.6,96,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: residential. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_004_unnamed_service_road,UNNAMED SERVICE ROAD QTC CANDIDATE 004 | YEERONGPILLY,Yeerongpilly,Unnamed Service Road,-27.526356,153.008338,1,osm_qtc_road_candidates,raw_road_candidate,234,59,11,0,452,0.146,Very High,under-250m,75.0,67.5,94.4,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: service. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_005_king_arthur_terrace,KING ARTHUR TERRACE QTC CANDIDATE 005 | YEERONGPILLY,Yeerongpilly,King Arthur Terrace,-27.524875,153.005770,1,osm_qtc_road_candidates,raw_road_candidate,248,81,8,4,580,0.158,Very High,under-250m,68.0,79.7,96,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: unclassified. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_006_walker_street,WALKER STREET QTC CANDIDATE 006 | YEERONGPILLY,Yeerongpilly,Walker Street,-27.526937,153.006140,1,osm_qtc_road_candidates,raw_road_candidate,165,75,4,4,534,0.189,Very High,under-250m,72.0,82.5,96,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: unclassified. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_007_unnamed_service_road,UNNAMED SERVICE ROAD QTC CANDIDATE 007 | TENNYSON,Tennyson,Unnamed Service Road,-27.527228,153.007430,1,osm_qtc_road_candidates,raw_road_candidate,124,45,2,3,382,0.191,Very High,under-250m,76.5,74.1,89.0,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: service. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_008_unnamed_service_road,UNNAMED SERVICE ROAD QTC CANDIDATE 008 | YEERONGPILLY,Yeerongpilly,Unnamed Service Road,-27.525958,153.009222,1,osm_qtc_road_candidates,raw_road_candidate,253,50,12,0,411,0.205,Very High,under-250m,74.0,65.9,94.4,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: service. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_009_unnamed_residential_road,UNNAMED RESIDENTIAL ROAD QTC CANDIDATE 009 | YEERONGPILLY,Yeerongpilly,Unnamed Residential Road,-27.524508,153.008946,1,osm_qtc_road_candidates,raw_road_candidate,249,24,19,3,327,0.205,Very High,under-250m,59.5,70.3,96,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: residential. Requires final human review before becoming a preferred pickup.
queensland_tennis_centre,qtc_osm_010_softstone_street,SOFTSTONE STREET QTC CANDIDATE 010 | YEERONGPILLY,Yeerongpilly,Softstone Street,-27.525773,153.005021,1,osm_qtc_road_candidates,raw_road_candidate,252,82,8,4,585,0.217,Very High,under-250m,68.0,79.0,96,35,Generated from OpenStreetMap road geometry within 2 km of Queensland Tennis Centre. Road class: secondary. Requires final human review before becoming a preferred pickup.
